[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
10.4_angles.xlsx,LeftHip,-6.87,1.77,2454.28,2405.51
10.4_angles.xlsx,RightHip,-0.94,2.5,2406.73,2454.28
10.4_angles.xlsx,LeftKnee,-0.57,0.33,1270.52,1530.19
10.4_angles.xlsx,RightKnee,-5.74,3.73,2448.18,2475.0
10.4_angles.xlsx,LeftAnkle,-6.08,2.64,2453.06,1372.92
10.4_angles.xlsx,RightAnkle,-2.74,3.51,105.05,56.29
10.5_angles.xlsx,LeftShoulder,-2.31,1.13,1521.61,1219.8
10.5_angles.xlsx,RightShoulder,-1.73,1.56,1286.26,1389.47
10.5_angles.xlsx,LeftElbow,-1.68,3.05,1386.34,1519.26
10.5_angles.xlsx,RightElbow,-3.6,1.84,1586.51,1521.61
10.5_angles.xlsx,LeftHip,-1.19,0.86,1351.16,1454.37
10.5_angles.xlsx,RightHip,-1.51,0.84,1517.7,1562.27
10.5_angles.xlsx,LeftKnee,-2.43,2.52,1481.73,1524.74
10.5_angles.xlsx,RightKnee,-3.18,1.87,1393.38,1348.81
10.5_angles.xlsx,LeftAnkle,-5.16,3.95,1457.49,1517.7
10.5_angles.xlsx,RightAnkle,-2.93,3.28,1390.25,1325.35
2,2_angles.xlsx,LeftShoulder,-0.09,0.1,3477.45,1978.21
2,2_angles.xlsx,RightShoulder,-0.13,0.12,1478.47,3479.56
2,2_angles.xlsx,LeftElbow,-0.22,0.21,705.56,3344.04
2,2_angles.xlsx,RightElbow,-0.29,0.21,1575.88,1616.11
2,2_angles.xlsx,LeftHip,-0.13,0.27,1688.11,2545.72
2,2_angles.xlsx,RightHip,-0.17,0.16,1842.69,1675.4
2,2_angles.xlsx,LeftKnee,-0.66,0.75,1074.02,2448.31
2,2_angles.xlsx,RightKnee,-0.84,0.55,1838.45,1891.39
2,2_angles.xlsx,LeftAnkle,-2.16,2.12,3377.92,3475.33
2,2_angles.xlsx,RightAnkle,-2.79,2.87,2547.84,2607.13
2.1_angles.xlsx,LeftShoulder,-0.07,0.1,2382.82,1145.95
2.1_angles.xlsx,RightShoulder,-0.1,0.06,1640.31,1790.76
2.1_angles.xlsx,LeftElbow,-0.14,0.2,3244.52,2382.82
2.1_angles.xlsx,RightElbow,-0.22,0.19,2611.43,3078.43
2.1_angles.xlsx,LeftHip,-0.17,0.15,2541.09,1577.78
2.1_angles.xlsx,RightHip,-0.2,0.19,3076.48,1345.26
2.1_angles.xlsx,LeftKnee,-0.44,0.46,2375.0,1441.0
2.1_angles.xlsx,RightKnee,-0.75,0.58,1874.78,2117.08
2.1_angles.xlsx,LeftAnkle,-2.58,1.85,1144.0,2378.91
2.1_angles.xlsx,RightAnkle,-1.5,1.56,2611.43,3242.57
2.3_angles.xlsx,LeftShoulder,-0.18,0.12,3245.39,3006.93
2.3_angles.xlsx,RightShoulder,-0.25,0.28,2630.69,2681.91
2.3_angles.xlsx,LeftElbow,-0.22,0.25,2945.1,1579.69
2.3_angles.xlsx,RightElbow,-0.71,0.78,2621.85,2678.38
2.3_angles.xlsx,LeftHip,-0.22,0.27,1782.82,1911.77
2.3_angles.xlsx,RightHip,-0.31,0.38,2706.64,2750.8
2.3_angles.xlsx,LeftKnee,-0.49,0.68,2242.08,2452.28
2.3_angles.xlsx,RightKnee,-0.85,0.89,1747.49,2772.0
2.3_angles.xlsx,LeftAnkle,-2.01,2.1,3317.81,1309.43
2.3_angles.xlsx,RightAnkle,-1.37,1.9,2787.89,2743.73
2.4_angles.xlsx,LeftShoulder,-0.38,0.17,2813.78,2593.93
2.4_angles.xlsx,RightShoulder,-0.18,0.21,2929.02,2972.99
2.4_angles.xlsx,LeftElbow,-0.29,0.47,2596.96,2804.69
2.4_angles.xlsx,RightElbow,-0.26,0.27,1362.73,1403.66
2.4_angles.xlsx,LeftHip,-0.24,0.27,1402.15,1600.78
2.4_angles.xlsx,RightHip,-0.67,0.24,2305.84,2361.94
2.4_angles.xlsx,LeftKnee,-0.75,0.7,1124.67,2111.76
2.4_angles.xlsx,RightKnee,-1.17,0.5,2301.29,1653.85
2.4_angles.xlsx,LeftAnkle,-2.25,2.14,1835.8,2933.57
2.4_angles.xlsx,RightAnkle,-1.4,1.4,2108.72,2469.59
2.5_angles.xlsx,LeftShoulder,-1.16,0.73,4110.31,4151.53
2.5_angles.xlsx,RightShoulder,-1.4,0.61,4145.02,4103.8
2.5_angles.xlsx,LeftElbow,-0.95,0.62,4368.49,3411.7
2.5_angles.xlsx,RightElbow,-0.6,0.59,3776.19,4149.36
2.5_angles.xlsx,LeftHip,-0.39,0.52,3806.57,4142.85
2.5_angles.xlsx,RightHip,-0.34,0.27,4375.0,4197.09
2.5_angles.xlsx,LeftKnee,-0.61,1.21,3800.06,3843.45
2.5_angles.xlsx,RightKnee,-0.64,0.79,3142.68,3643.85
2.5_angles.xlsx,LeftAnkle,-2.01,2.06,3142.68,3472.45
2.5_angles.xlsx,RightAnkle,-1.6,2.31,4105.97,4147.19
3.1_angles.xlsx,LeftShoulder,-1.72,3.56,4071.77,4174.11
3.1_angles.xlsx,RightShoulder,-3.21,1.7,4174.11,4071.77
3.1_angles.xlsx,LeftElbow,-3.71,4.57,2310.02,2841.23
3.1_angles.xlsx,RightElbow,-1.99,2.31,570.2,943.02
3.1_angles.xlsx,LeftHip,-0.29,0.35,4471.39,2673.09
3.1_angles.xlsx,RightHip,-0.37,0.34,2670.66,4069.33
3.1_angles.xlsx,LeftKnee,-0.7,0.53,4773.54,2380.69
3.1_angles.xlsx,RightKnee,-0.66,0.39,3906.07,4276.45
3.1_angles.xlsx,LeftAnkle,-2.15,3.96,840.68,4673.64
3.1_angles.xlsx,RightAnkle,-2.51,1.96,2707.21,2768.12
3.2_angles.xlsx,LeftShoulder,-1.34,0.9,2469.05,2510.21
3.2_angles.xlsx,RightShoulder,-0.78,1.33,1136.4,2472.1
3.2_angles.xlsx,LeftElbow,-1.02,1.93,2673.36,3057.6
3.2_angles.xlsx,RightElbow,-1.33,0.8,1439.83,1638.05
3.2_angles.xlsx,LeftHip,-0.38,0.28,1377.32,2569.68
3.2_angles.xlsx,RightHip,-0.37,0.36,2406.53,1206.54
3.2_angles.xlsx,LeftKnee,-0.32,0.61,1336.15,1069.31
3.2_angles.xlsx,RightKnee,-0.84,0.68,2406.53,2770.95
3.2_angles.xlsx,LeftAnkle,-2.14,1.92,703.37,52.3
3.2_angles.xlsx,RightAnkle,-2.37,6.52,3004.24,3059.13
3.3_angles.xlsx,LeftShoulder,-2.76,1.12,3289.65,3381.87
3.3_angles.xlsx,RightShoulder,-1.14,2.44,3383.72,3289.65
3.3_angles.xlsx,LeftElbow,-1.39,1.38,812.59,3529.42
3.3_angles.xlsx,RightElbow,-2.47,1.43,2114.75,2077.86
3.3_angles.xlsx,LeftHip,-0.29,0.27,3383.72,2278.91
3.3_angles.xlsx,RightHip,-1.34,1.14,3381.87,3295.18
3.3_angles.xlsx,LeftKnee,-0.33,0.55,3483.31,3527.58
3.3_angles.xlsx,RightKnee,-1.17,1.94,3383.72,3282.27
3.3_angles.xlsx,LeftAnkle,-2.21,2.52,1710.82,1874.98
3.3_angles.xlsx,RightAnkle,-2.09,2.25,2114.75,2409.86
3.4_angles.xlsx,LeftShoulder,-2.46,1.02,2231.79,2191.1
3.4_angles.xlsx,RightShoulder,-1.06,2.59,2191.1,2231.79
3.4_angles.xlsx,LeftElbow,-1.07,4.32,1296.03,461.98
3.4_angles.xlsx,RightElbow,-1.64,1.8,1294.67,628.79
3.4_angles.xlsx,LeftHip,-1.19,0.24,2739.0,2671.19
3.4_angles.xlsx,RightHip,-0.79,1.01,2399.96,2739.0
3.4_angles.xlsx,LeftKnee,-1.49,2.49,2661.7,2739.0
3.4_angles.xlsx,RightKnee,-2.69,3.84,2673.9,2739.0
3.4_angles.xlsx,LeftAnkle,-1.76,1.96,2298.24,2565.41
3.4_angles.xlsx,RightAnkle,-2.64,3.05,2673.9,2737.64
3.5_angles.xlsx,LeftShoulder,-1.83,1.63,3858.24,3661.1
3.5_angles.xlsx,RightShoulder,-1.85,1.58,3659.05,3858.24
3.5_angles.xlsx,LeftElbow,-1.11,4.82,2324.25,416.53
3.5_angles.xlsx,RightElbow,-1.83,1.64,1683.55,1919.71
3.5_angles.xlsx,LeftHip,-0.66,0.19,3858.24,3755.56
3.5_angles.xlsx,RightHip,-0.38,0.35,3463.96,3858.24
3.5_angles.xlsx,LeftKnee,-0.33,0.45,2014.17,2293.45
3.5_angles.xlsx,RightKnee,-1.23,0.92,3461.91,3418.78
3.5_angles.xlsx,LeftAnkle,-1.94,2.44,2153.81,2114.79
3.5_angles.xlsx,RightAnkle,-1.77,2.15,2350.95,3654.94
4,2_angles.xlsx,LeftShoulder,-0.11,0.09,2242.78,1275.91
4,2_angles.xlsx,RightShoulder,-0.13,0.14,2208.44,1378.95
4,2_angles.xlsx,LeftElbow,-0.2,0.2,942.74,1968.01
4,2_angles.xlsx,RightElbow,-0.3,0.27,1174.59,911.83
4,2_angles.xlsx,LeftHip,-0.13,0.13,2077.92,1014.87
4,2_angles.xlsx,RightHip,-0.1,0.13,1037.2,1677.77
4,2_angles.xlsx,LeftKnee,-0.46,0.51,918.7,2282.28
4,2_angles.xlsx,RightKnee,-0.46,0.55,2648.08,1767.08
4,2_angles.xlsx,LeftAnkle,-2.19,2.2,3276.63,2144.89
4,2_angles.xlsx,RightAnkle,-2.05,1.95,1442.5,1641.71
4,3_angles.xlsx,LeftShoulder,-0.17,0.15,2609.21,1575.41
4,3_angles.xlsx,RightShoulder,-0.14,0.13,2304.49,3371.94
4,3_angles.xlsx,LeftElbow,-0.57,0.75,2308.23,2601.73
4,3_angles.xlsx,RightElbow,-0.23,0.31,3269.12,2867.19
4,3_angles.xlsx,LeftHip,-0.13,0.27,2736.33,1599.72
4,3_angles.xlsx,RightHip,-0.27,0.15,1601.59,3007.4
4,3_angles.xlsx,LeftKnee,-0.49,0.35,2586.78,1902.57
4,3_angles.xlsx,RightKnee,-0.52,0.42,3145.74,1268.83
4,3_angles.xlsx,LeftAnkle,-2.06,2.01,1508.11,1465.12
4,3_angles.xlsx,RightAnkle,-3.35,2.98,2470.87,2510.13
4.1_angles.xlsx,LeftShoulder,-0.13,0.2,1480.67,1680.8
4.1_angles.xlsx,RightShoulder,-0.16,0.16,717.8,2578.42
4.1_angles.xlsx,LeftElbow,-0.41,0.53,1437.08,545.41
4.1_angles.xlsx,RightElbow,-0.37,0.41,1181.47,1127.97
4.1_angles.xlsx,LeftHip,-0.25,0.13,777.24,1371.69
4.1_angles.xlsx,RightHip,-0.19,0.18,3147.11,2511.05
4.1_angles.xlsx,LeftKnee,-0.42,0.57,977.37,1575.78
4.1_angles.xlsx,RightKnee,-0.49,0.46,3050.01,2140.51
4.1_angles.xlsx,LeftAnkle,-1.85,1.95,2378.29,3993.2
4.1_angles.xlsx,RightAnkle,-1.65,1.99,2007.75,283.85
4.4_angles.xlsx,LeftShoulder,-0.21,0.2,672.51,1206.23
4.4_angles.xlsx,RightShoulder,-0.17,0.16,1311.84,671.38
