[filename], [gate], [angular_velocity_min], [angular_velocity_max], [time_min], [time_max]
2.1_angles.xlsx,RightElbow,-2.63,1.46,5243.21,6307.48
2.1_angles.xlsx,LeftHip,-0.26,0.23,4901.77,2388.21
2.1_angles.xlsx,RightHip,-0.36,0.89,1977.76,2315.57
2.1_angles.xlsx,LeftKnee,-0.41,0.49,3209.12,2377.31
2.1_angles.xlsx,RightKnee,-1.22,2.18,1974.13,2311.93
2.1_angles.xlsx,LeftAnkle,-1.96,1.84,4582.13,4538.54
2.1_angles.xlsx,RightAnkle,-2.03,1.86,782.73,1076.95
2.2_angles.xlsx,LeftShoulder,-0.34,0.29,6073.76,4697.18
2.2_angles.xlsx,RightShoulder,-0.3,0.49,5773.03,2439.6
2.2_angles.xlsx,LeftElbow,-0.52,0.3,5705.26,6306.71
2.2_angles.xlsx,RightElbow,-0.57,0.3,5573.95,5811.15
2.2_angles.xlsx,LeftHip,-0.13,0.1,2969.05,3240.13
2.2_angles.xlsx,RightHip,-0.17,0.18,5163.1,4506.58
2.2_angles.xlsx,LeftKnee,-0.24,0.19,3337.55,2956.34
2.2_angles.xlsx,RightKnee,-0.35,0.38,4464.22,4506.58
2.2_angles.xlsx,LeftAnkle,-1.05,1.13,1969.44,3142.71
2.2_angles.xlsx,RightAnkle,-2.6,2.3,173.54,334.49
2.3_angles.xlsx,LeftShoulder,-0.28,0.4,4409.68,2819.27
2.3_angles.xlsx,RightShoulder,-0.32,0.46,4314.01,4114.71
2.3_angles.xlsx,LeftElbow,-0.63,0.4,3748.0,3787.86
2.3_angles.xlsx,RightElbow,-1.32,1.0,4178.49,4222.33
2.3_angles.xlsx,LeftHip,-0.3,0.29,3142.13,2552.2
2.3_angles.xlsx,RightHip,-0.28,0.26,4453.52,3815.76
2.3_angles.xlsx,LeftKnee,-0.39,0.65,4078.84,3146.12
2.3_angles.xlsx,RightKnee,-0.48,0.49,2679.76,4437.58
2.3_angles.xlsx,LeftAnkle,-1.64,1.6,2918.91,2647.87
2.3_angles.xlsx,RightAnkle,-2.36,3.0,1914.44,1814.79
2.4_angles.xlsx,LeftShoulder,-0.24,0.54,4982.44,3944.41
2.4_angles.xlsx,RightShoulder,-0.31,0.35,3710.72,3748.76
2.4_angles.xlsx,LeftElbow,-0.58,0.47,3406.37,3447.13
2.4_angles.xlsx,RightElbow,-0.59,0.45,3311.27,3352.03
2.4_angles.xlsx,LeftHip,-0.33,0.18,5145.48,2710.73
2.4_angles.xlsx,RightHip,-0.28,0.21,5145.48,2909.1
2.4_angles.xlsx,LeftKnee,-0.41,0.58,2805.84,5137.33
2.4_angles.xlsx,RightKnee,-0.54,0.47,2808.55,5140.05
2.4_angles.xlsx,LeftAnkle,-1.37,1.29,2580.3,2539.54
2.4_angles.xlsx,RightAnkle,-1.43,1.41,4710.7,4610.16
2.5_angles.xlsx,LeftShoulder,-0.51,0.63,3937.05,1974.14
2.5_angles.xlsx,RightShoulder,-0.59,0.67,2045.95,2104.09
2.5_angles.xlsx,LeftElbow,-0.98,0.62,1974.14,2011.75
2.5_angles.xlsx,RightElbow,-0.64,0.59,2610.2,2141.7
2.5_angles.xlsx,LeftHip,-0.23,0.23,2740.15,2528.13
2.5_angles.xlsx,RightHip,-0.35,0.36,2876.94,2572.59
2.5_angles.xlsx,LeftKnee,-0.54,0.42,2623.88,2873.52
2.5_angles.xlsx,RightKnee,-0.54,0.6,5335.71,2873.52
2.5_angles.xlsx,LeftAnkle,-2.32,2.41,1509.06,1546.67
2.5_angles.xlsx,RightAnkle,-2.87,2.75,4142.23,5578.51
2.6_angles.xlsx,LeftShoulder,-0.42,0.47,7839.59,7879.49
2.6_angles.xlsx,RightShoulder,-0.5,0.6,1344.93,1407.0
2.6_angles.xlsx,LeftElbow,-0.48,0.52,6478.6,7440.61
2.6_angles.xlsx,RightElbow,-0.93,1.36,1216.37,1274.0
2.6_angles.xlsx,LeftHip,-0.58,0.54,1012.44,1544.43
2.6_angles.xlsx,RightHip,-0.52,0.5,1544.43,1602.06
2.6_angles.xlsx,LeftKnee,-0.41,0.79,6571.69,7773.1
2.6_angles.xlsx,RightKnee,-2.01,2.0,1610.93,1708.46
2.6_angles.xlsx,LeftAnkle,-1.75,1.68,7547.0,7507.1
2.6_angles.xlsx,RightAnkle,-2.24,1.63,6141.67,2612.83
3.1_angles.xlsx,LeftShoulder,-0.34,0.29,3897.93,3845.64
3.1_angles.xlsx,RightShoulder,-0.17,0.17,3799.89,3904.47
3.1_angles.xlsx,LeftElbow,-0.17,0.16,1378.2,1737.7
3.1_angles.xlsx,RightElbow,-0.18,0.18,894.52,4228.02
3.1_angles.xlsx,LeftHip,-0.4,0.19,3904.47,3793.35
3.1_angles.xlsx,RightHip,-0.28,0.27,3819.5,3767.21
3.1_angles.xlsx,LeftKnee,-0.97,1.98,1701.75,1937.05
3.1_angles.xlsx,RightKnee,-0.63,0.78,1567.75,1933.79
3.1_angles.xlsx,LeftAnkle,-1.63,2.24,3871.79,1937.05
3.1_angles.xlsx,RightAnkle,-1.74,1.67,3904.47,3865.25
3.2_angles.xlsx,LeftShoulder,-0.21,0.1,5996.55,6398.39
3.2_angles.xlsx,RightShoulder,-0.28,0.26,6527.71,6306.01
3.2_angles.xlsx,LeftElbow,-0.27,0.32,6038.12,5996.55
3.2_angles.xlsx,RightElbow,-0.54,0.38,6763.27,6361.44
3.2_angles.xlsx,LeftHip,-0.23,0.3,2380.02,2412.36
3.2_angles.xlsx,RightHip,-0.35,0.27,2412.36,2380.02
3.2_angles.xlsx,LeftKnee,-0.16,0.22,6527.71,5165.17
3.2_angles.xlsx,RightKnee,-0.23,0.18,6435.34,7530.0
3.2_angles.xlsx,LeftAnkle,-1.04,1.15,6564.66,7465.33
3.2_angles.xlsx,RightAnkle,-1.39,1.3,6934.17,6989.6
3.3_angles.xlsx,LeftShoulder,-0.32,0.31,3005.88,3416.49
3.3_angles.xlsx,RightShoulder,-0.44,0.23,3002.28,2591.68
3.3_angles.xlsx,LeftElbow,-0.23,0.2,2804.18,1903.73
3.3_angles.xlsx,RightElbow,-0.26,0.16,4136.85,4176.47
3.3_angles.xlsx,LeftHip,-0.23,0.2,2973.47,3603.78
3.3_angles.xlsx,RightHip,-0.31,0.28,4370.97,2343.15
3.3_angles.xlsx,LeftKnee,-0.5,0.57,3733.45,4338.55
3.3_angles.xlsx,RightKnee,-0.54,0.42,2335.95,4367.36
3.3_angles.xlsx,LeftAnkle,-1.21,1.07,5775.67,5732.45
3.3_angles.xlsx,RightAnkle,-1.5,1.3,2872.62,2771.77
3.4_angles.xlsx,LeftShoulder,-0.22,0.26,4842.11,4272.44
3.4_angles.xlsx,RightShoulder,-0.18,0.27,1444.71,4073.4
3.4_angles.xlsx,LeftElbow,-0.34,0.25,1039.77,875.04
3.4_angles.xlsx,RightElbow,-0.17,0.15,4097.42,2676.69
3.4_angles.xlsx,LeftHip,-0.34,0.24,5010.26,4207.24
3.4_angles.xlsx,RightHip,-0.26,0.2,5010.26,4210.67
3.4_angles.xlsx,LeftKnee,-0.44,0.45,4203.81,5003.4
3.4_angles.xlsx,RightKnee,-0.56,0.41,4142.04,4996.53
3.4_angles.xlsx,LeftAnkle,-1.33,1.14,415.19,374.01
