LeftShoulder,-0.09,0.08,1178.28,3148.22
RightShoulder,-0.09,0.07,1246.44,784.73
LeftElbow,-0.28,0.27,3146.03,1275.02
RightElbow,-0.27,0.22,978.21,1873.04
LeftHip,-0.16,0.09,1437.71,1508.07
RightHip,-0.18,0.14,1376.15,1417.93
LeftKnee,-0.29,0.47,1903.82,971.61
RightKnee,-0.35,0.54,1395.94,1631.19
LeftAnkle,-1.48,1.34,613.24,571.47
RightAnkle,-1.39,1.66,1580.62,1538.85
